"postcode","inwoners","oppervlakte_km2","geometry"
111,36685,37.4866642896551,"MULTIPOLYGON (((113057.3 477631.7, 113201.2 477280.7, 112452.2 476776.6, 112226.3 476933.9, 112100.2 476791.4, 111995.6 476877.5, 112071.1 476704.3, 111822.6 476673.6, 111958.6 476551, 111558.9 476465.8, 110978.6 476948.7, 111479.2 477434.3, 111368.4 477379.4, 111066.6 477713.9, 110825.8 477447.7, 110048 478127.5, 110698.2 478850.2, 110405.7 479051.2, 110689.3 479525.5, 110495.8 479538.2, 110559.1 480934.7, 111649.6 480978.9, 112477.2 481796.7, 114111.6 482250.3, 114564.2 481869.5, 114877.1 482261.1, 116099.3 480497.6, 115597.5 479948, 114671.5 479340.6, 114417.4 478645, 113957.7 479049.5, 113686.8 478753.8, 113554.8 477733.3, 113057.3 477631.7)), ((123618.4 483215, 124280 483060.5, 125193.8 483490.6, 125389.1 483668.3, 125282.5 483790.1, 126090.6 484755.4, 126292.2 485283, 126536.2 485398.8, 127033.1 485144.7, 128469.9 483822.1, 129208.4 483836.7, 129449.5 484053.3, 129701.4 483946.4, 129658.6 484478.7, 129756.3 484285.5, 129914.7 484504.6, 130456.8 484602.8, 131015.7 484237.7, 130734.7 484331.3, 130935.4 484169, 130757 483991, 131003.5 484102.8, 130939.1 483699.4, 130384.5 483456.7, 130522.6 483492, 129644.9 482806.1, 129255.2 482275.8, 129612 482220.3, 129702.6 481905.8, 128457.3 480737.5, 127858 482302, 127569.4 482581.3, 127103.4 482659.5, 126924.9 482636.2, 126589.2 482118.9, 126387.2 482250, 125386.9 481700.2, 125068.6 482277.4, 124590 482023.5, 124349.9 481733.2, 124683.8 481170.7, 124512.5 481276.9, 124437.3 480843.1, 123701.8 480183, 122954.2 481336.3, 122574.6 482470.5, 123328.8 482896.3, 123356.7 483304.7, 123455.2 483154.5, 123618.4 483215)), ((108999.3 483260.2, 109210.8 482961.4, 109901.3 482536, 109689.3 482234.3, 109227.5 482591.1, 108935.9 482416.4, 108914.9 482159.7, 108556.1 482183.1, 108637.6 483432.6, 108812.8 483423.3, 108843.1 483622.3, 108999.3 483260.2)))"
112,11155,23.7619009701561,"MULTIPOLYGON (((125218.1 499968, 125078.7 497995.5, 125328.9 496849.3, 125142.6 496145.5, 125359.5 494371.4, 125307.4 492955.1, 124850.8 491928.2, 123940.4 491629.6, 121774.5 493077.1, 121817.7 493998.6, 121492.6 494484.3, 121650.3 494820.4, 121636.8 495497.8, 121823.9 495460.5, 121681.8 495489, 121697.9 495889.3, 121548.5 495878.1, 121430.6 496727.5, 121881.2 497183, 121617.2 497160, 122107.2 498358.8, 123221 498244.1, 123513.3 498529.3, 124086.7 500078.5, 124723.2 499834.5, 124859.2 500094.3, 125218.1 499968)))"
113,29630,10.2908357300446,"MULTIPOLYGON (((134375.6 502254.9, 134532.1 501845.8, 133929.9 500585, 133924 500782.4, 133696.6 500584.3, 133891.5 500582.2, 133584.4 500517.6, 133424.6 500254.6, 133023.5 500436.1, 132747.3 500342.5, 133019.5 500424.8, 132863.6 500083.5, 133089.3 499954.3, 133255.1 500178.8, 133100.8 499940.3, 132862 500063.6, 132694.7 499809.2, 132715.3 500411, 130777.7 500127.6, 130960 501093.8, 131634.9 502291.1, 130816.3 503612.2, 131773.6 503320.6, 131654.1 503658.8, 131876.5 503632.8, 133186.4 504330.5, 133227.3 503961, 133510.8 503582.9, 133894.1 503552.8, 133657.3 503373.3, 133866.8 503528.9, 133753.5 503193, 134182.5 502871.9, 134375.6 502254.9)))"
114,9795,16.4883524554385,"MULTIPOLYGON (((130937 497597.6, 131016 497439.2, 131298.1 497400.2, 131159.2 497325.1, 131279.5 497085.3, 131018.6 497384, 131353.6 496735.2, 131398.3 497069.7, 131459 496792.5, 131635.8 496703.9, 132032.5 497277.4, 132411.8 497138.1, 131970.5 496421.3, 131954.4 495598.7, 131606.9 495301.4, 131069.8 495493.4, 131041.5 495723.4, 130730.5 495663.4, 130433.5 495806, 129595.4 495670.5, 129266.6 496270.3, 128491.5 495975.8, 128255.7 496052.1, 127858.1 495881.3, 127222.8 496027.8, 126569.7 495774.3, 126351.4 496136.1, 126388.8 496731.6, 127032.2 496864.7, 127424 497228.8, 128483.9 497598.4, 129512.6 498307.2, 129746.9 499161.8, 130809.6 500165, 131322.7 500123.9, 132715.3 500411, 132797.1 498865.9, 133379.1 498174.5, 133327.4 497925.7, 132894.5 497823.1, 132158.9 498007.6, 131343 497529, 130971.3 497797.1, 130937 497597.6)))"
115,4955,23.6389920631352,"MULTIPOLYGON (((132036.5 495490.4, 131933.1 494995.6, 132031.1 494673.1, 132595.2 494653.8, 133010.4 494442.3, 133239.9 494616, 133977.6 494352.7, 134571.1 494406.8, 134710.2 494158.8, 134996 494817.2, 134942.3 494481.9, 134566.8 493853.3, 134666.8 494091, 134511.5 494182.3, 133858.9 493496.8, 133889.5 493286.7, 133757.5 493481.7, 133786.7 492984.6, 133628.9 492963.7, 133643.7 492576.6, 133301.5 492130.3, 132002.3 491977.2, 131055.7 492329.1, 130700.9 492040.7, 130490.5 492523.4, 130130.3 492664.2, 129897.4 492424.8, 128677.3 493147.1, 128057.7 493047.6, 127733.6 493480.4, 127045.6 492992.7, 126736.5 493445.3, 126806.7 494742.7, 126434 494836.4, 126358 495094.3, 126742 495463.4, 126557.9 495766.8, 126879.8 495966.1, 127858.1 495881.3, 129266.6 496270.3, 129595.4 495670.5, 130433.5 495806, 130730.5 495663.4, 131041.5 495723.4, 131069.8 495493.4, 131550.8 495304.7, 131936.6 495583.3, 132036.5 495490.4)), ((135043.3 495113.3, 135094 495693.1, 134975.6 496029.2, 135422.6 496798.1, 135492.5 496627.2, 135519.1 497432, 135669.3 497709.5, 135097 500142.1, 135750.6 497811, 135937.5 497782.6, 136407.9 497150.3, 137869.4 497275.4, 138149.2 496937.9, 137596.1 496906.1, 136947.8 496453.1, 136230.7 496289.4, 135895.4 495862.1, 135415.9 495872.3, 135136 495692.9, 135043.3 495113.3)))"
116,10555,15.4448837253958,"MULTIPOLYGON (((112049.6 487953, 112135.7 486945.2, 111388.9 486336.8, 110907.9 485635, 109637.7 486778.5, 109422.3 486537.9, 108644.6 487178.4, 108969.2 487368.5, 108738.6 488526.6, 107647.7 488228, 107440.3 488637.8, 108761.1 488922.4, 108624.7 490097.1, 109261.4 490629.4, 109072.5 490827, 109758.3 491821.9, 110165 491821, 110262.8 492436.8, 110059.3 492630.9, 110488.9 492522.5, 110755.4 493732, 110879.1 493634, 110188.4 490522.9, 112152.5 490070, 112171.9 489704.1, 111803.8 489536.4, 111993.6 489468.7, 111898.4 489165.4, 112187 489079.1, 112266.7 488323.3, 112049.6 487953)))"
117,14160,18.3833814451473,"MULTIPOLYGON (((113584.4 484452, 114345.5 483896, 114818 483168.9, 116128.1 482225.4, 116222.2 481889.3, 115966.2 480678.8, 114877.1 482261.1, 114563 481868.7, 114111.6 482250.3, 112710.9 481890.9, 112180.2 481608.4, 111649.6 480978.9, 110761.6 480967.2, 110804.8 481572.6, 110469.7 481605.9, 109809.8 482357.9, 109901.3 482536, 109077.4 483082, 108843.1 483622.3, 109141.1 483721.1, 109291.2 483365.4, 110654.6 484886.1, 111024.1 485847.5, 112035.1 486958.2, 112135.7 486945.2, 111928.5 485579.6, 113584.4 484452)))"
118,90830,43.9509016460668,"MULTIPOLYGON (((120398.6 475934.9, 120311.2 475581.8, 120496.3 475224.9, 119906.2 474901, 119936.3 474570.7, 119585.5 473852.9, 118816.5 473417.4, 118621 472788, 117237.9 473700.9, 114602.2 474932.5, 116588.3 478132.6, 115597.1 479947.7, 116121 480581.8, 115980.5 480728.9, 116222.2 481889.3, 116135.5 482264.4, 116359.6 481952.3, 116339.3 482131.1, 117656.8 482298.9, 117663.2 482497.7, 117969.7 482614.7, 118785.3 482619.7, 118842.5 481606.1, 119678.6 481674.8, 119687.9 481404.2, 119678.4 481680.3, 121531 481721.6, 122398.2 481315.9, 122146.2 480988.2, 122339.6 479953.8, 122071.8 479610.4, 122225.5 479839.8, 121674.7 480167.3, 121533.7 479743.5, 121665.3 479615.5, 121533.8 479743.5, 121674.7 480167.2, 122225.5 479839.8, 121651.1 479259.9, 121833.5 478788.3, 121165.7 478595, 121140.7 478283.2, 120874.5 478071.5, 121057 477837.7, 120766.8 477705.2, 120303.3 476888, 120468 476397, 120398.6 475934.9)))"
119,8845,21.1580777545165,"MULTIPOLYGON (((122969.2 481307.8, 124151.4 479429, 125520.7 476787.7, 124664.2 476779.4, 124056.2 477084.9, 123556.5 476963.9, 123565.5 476147.7, 123751.7 475696.8, 123431.7 475542.8, 123327.1 475108.4, 122975.3 474955.4, 122936.7 474441.8, 122469.4 473948.3, 121942.5 474017.6, 121632.6 473766.7, 121139.8 474033.9, 120843.7 473768.4, 120555.1 474083.5, 119944.7 473757.3, 119691.9 474041.7, 119936.3 474570.7, 119890 474877, 120284.1 474998.3, 120509.3 475261.2, 120311.4 475578.8, 120468.5 476416.8, 120312.2 476925.5, 120785.3 477728.8, 121057 477837.7, 120877.5 478089.7, 121140.7 478283.2, 121222.9 478665.2, 121838.8 478797.7, 121655.6 479270.7, 122346.1 479975, 122150.7 481013.9, 122403.5 481252.1, 122624.5 481250.1, 122756 481489.6, 122515 481658.7, 122554.7 481908.6, 122731.7 481950.8, 122969.2 481307.8)))"
121,58855,37.1819400579777,"MULTIPOLYGON (((138138.6 468825.4, 138269.6 468984.5, 138091.1 468904.3, 137691.3 469608.2, 136881.2 470196.2, 137016.3 470198.9, 136967.5 470400.1, 137425.2 470409.8, 137285.6 470727.3, 138979.9 470625.7, 138125 470746.2, 138271.8 472835.3, 138120.5 473109.2, 138093.3 474026.2, 137901.9 474019.7, 137883.4 474646.4, 138214.6 474655.4, 139045.5 474477, 139474 474117.1, 139402.8 474420.8, 139621.7 474379.3, 139617.7 474223, 139743.3 474309.3, 140743.1 471362.2, 141242.9 470473.9, 142402.9 470098.2, 143217.9 470012.3, 143610.2 469768.9, 143380.2 468694.6, 141688.3 465539.1, 137005.8 465887, 136859.2 466416.3, 137815.2 466938.8, 138461.1 467665.3, 138479.9 468067.7, 138138.6 468825.4)), ((137747.5 476675.6, 138242.7 477179.8, 138306.4 477458.5, 138589.1 477242.4, 138217.7 476632.8, 138352.7 476546.8, 138242.1 476382, 138397.3 476282.3, 138422.4 475947, 137968.3 475033.4, 137959.2 474648.5, 137249.9 474634.5, 137071 474773.5, 136757.3 475995.6, 135613.9 476650.7, 135538.6 477110.8, 135719.9 477525.2, 135896 477535.1, 136892.3 477111.4, 137139.8 476782.9, 137747.5 476675.6)))"
